01;17;01/12/2020;02170174;01;05;5010000;604;kg;co
01;17;01/12/2020;02170281;01;05;5010000;329;kg;co
01;17;01/12/2020;02170325;01;05;5010000;627;kg;co
01;17;01/12/2020;02170323;01;05;5010000;804;kg;co
01;17;01/12/2020;02170074;01;05;5010000;151;kg;co
01;17;01/12/2020;02170308;01;05;5010000;602;kg;co
01;17;01/12/2020;02170198;01;05;5010000;1061;kg;co
01;17;01/12/2020;02170073;01;05;5010000;315;kg;co
01;17;01/12/2020;02170040;01;05;5010000;128;kg;co
01;17;01/12/2020;02170138;01;05;5010000;794;kg;co
01;17;01/12/2020;02170022;01;05;5010000;175;kg;co
01;17;01/12/2020;02170306;01;05;5010000;717;kg;co
01;17;01/12/2020;02170139;01;05;5010000;375;kg;co
01;17;01/12/2020;02170200;01;05;5010000;603;kg;co
01;17;01/12/2020;02170346;01;05;5010000;1200;kg;co
